id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
223510,Miasmata,2012.0,76.0,6.0,3.3433962264150945,11.54,15.83,24.52,12.98,Horror|Story Rich|First-Person|Multiplayer|Action|Adventure|Atmospheric|Exploration|Walking Simulator|FPS|Crafting|Mystery|Survival Horror|Survival|Indie|Immersive|Simulation|Singleplayer|Open World Survival Craft|Open World
363600,Holy Potatoes! A Weapon Shop?!,2015.0,69.0,6.0,2.579044117647059,11.0,16.47,26.68,15.68,RPG|Crafting|Funny|Management|Casual|Indie|Singleplayer|Simulation
525920,Pro Cycling Manager 2017,2017.0,71.0,6.0,2.593220338983051,45.0,100.0,1000.0,955.0,Nudity|Racing|Cycling|Management|Multiplayer|Sports|Simulation
871980,Digimon Survive,2022.0,83.0,8.0,4.330508474576271,31.93,40.09,74.66,42.73,Story Rich|Visual Novel|Tactical RPG|Adventure|2.5D|Soundtrack|Strategy RPG|Isometric|RPG|Turn-Based Tactics|JRPG|Text-Based|Mystery|Survival|Singleplayer|Simulation|Emotional|Psychological|Drama|Anime|Turn-Based Strategy|Third Person
348820,FIM Speedway Grand Prix 15,2015.0,68.0,8.0,15.85,2.0,9.42,17.5,15.5,Racing|Multiplayer|Singleplayer|Sports|Simulation
244030,Take On Mars,2017.0,62.0,5.0,1.2189281641961232,30.0,47.5,62.5,32.5,First-Person|Space Sim|Multiplayer|Futuristic|Adventure|Building|Exploration|Science|Co-op|Early Access|Moddable|Survival|Mars|Singleplayer|Simulation|Space|Realistic|Education|Open World|Sandbox|Sci-fi
565120,The Station,2018.0,72.0,8.0,5.935251798561152,1.79,2.06,2.22,0.4300000000000001,Horror|Space|Story Rich|Atmospheric|First-Person|Mystery|Exploration|Puzzle|Indie|Walking Simulator|Short|Singleplayer|Adventure|Simulation|Sci-fi
39640,AquaNox 2: Revelation,2010.0,59.0,6.0,2.8,10.78,12.52,15.26,4.48,6DOF|Story Rich|Underwater|Cyberpunk|Action|Singleplayer|Simulation|Sci-fi
1148760,I Was a Teenage Exocolonist,2022.0,91.0,9.0,39.22222222222222,10.62,28.42,71.43,60.81000000000001,Story Rich|Visual Novel|Card Game|Dating Sim|Futuristic|Trading Card Game|Management|RPG|Multiple Endings|Survival|Deckbuilding|Life Sim|Singleplayer|Simulation|Choose Your Own Adventure|Hand-drawn|Interactive Fiction|Choices Matter|Turn-Based|Sci-fi
200230,Off-Road Drive,2011.0,60.0,5.0,1.7654867256637168,0.56,0.8,1.05,0.49,Racing|Automobile Sim|Offroad|Multiplayer|Singleplayer|Simulation
910830,Rebel Galaxy Outlaw,2020.0,77.0,5.0,1.7627118644067796,16.68,33.95,58.87,42.19,Robots|First-Person|Space Sim|Action-Adventure|Action|Futuristic|Old School|Adventure|Combat|Female Protagonist|RPG|Flight|3D|Vehicular Combat|Singleplayer|Simulation|Nonlinear|Space|Third Person|Open World|Sci-fi
1011670,Totally Reliable Delivery Service,2021.0,64.0,8.0,4.4623115577889445,2.77,7.86,9.32,6.550000000000001,Action-Adventure|Multiplayer|Action|Adventure|Physics|Split Screen|Co-op|Local Co-Op|Local Multiplayer|Comedy|Funny|3D|Casual|Simulation|Colorful|Cute|Third Person|Open World|4 Player Local|Sandbox
1082680,The Walking Dead Onslaught,2020.0,56.0,5.0,0.7818853974121996,8.03,8.9,13.45,5.42,Horror|Violent|Co-op Campaign|Zombies|Survival|Indie|Action|Gore|Shooter|Singleplayer|Adventure|Simulation|RPG|VR
278440,0RBITALIS,2015.0,73.0,6.0,2.3908045977011496,2.29,3.29,12.98,10.69,Space|Physics|Puzzle|Indie|Simulation|Early Access
234920,Dyscourse,2015.0,71.0,6.0,3.45,1.15,2.37,9.52,8.37,Multiple Endings|Choices Matter|Casual|Survival|Indie|Adventure|Female Protagonist|Simulation|Singleplayer|Choose Your Own Adventure
2780,ARMA: Combat Operations,2008.0,74.0,5.0,2.2564102564102564,11.0,14.38,30.39,19.39,Realistic|Action|Tactical|FPS|Shooter|Open World|Simulation|Military
860620,KURSK,2018.0,42.0,5.0,0.9255813953488372,3.97,5.64,7.99,4.02,Historical|Documentary|Indie|Action|Gore|Adventure|Simulation|Submarine
273620,Freespace 2,2014.0,91.0,6.0,3.476923076923077,15.17,16.77,28.0,12.83,Space|Classic|Story Rich|Flight|Space Sim|Moddable|Multiplayer|Action|Singleplayer|Epic|Simulation|Sci-fi
545540,The Infectious Madness of Doctor Dekker,2017.0,78.0,8.0,5.454545454545454,8.21,12.15,14.65,6.44,Horror|Story Rich|Visual Novel|Adventure|Atmospheric|Psychological Horror|Detective|Multiple Endings|Mystery|Casual|Indie|Singleplayer|Simulation|FMV|Psychological|Drama|Dark|Interactive Fiction|Choices Matter|Lovecraftian
1004750,WRC 8 FIA World Rally Championship,2020.0,77.0,6.0,2.792517006802721,16.05,39.75,40.0,23.95,First-Person|Automobile Sim|Multiplayer|Driving|Modern|Physics|Management|Score Attack|Competitive|Time Attack|Destruction|Offroad|Racing|3D|Time Management|Singleplayer|Simulation|PvP|Realistic|Colorful|Third Person|Open World|Sports
1392960,STORY OF SEASONS: Pioneers of Olive Town,2021.0,76.0,8.0,5.866666666666666,44.8,74.19,141.71,96.91,Story Rich|Building|Romance|Character Customization|Top-Down|RPG|Relaxing|3D|Casual|Cooking|Life Sim|Dog|Simulation|Farming Sim|Cute|Anime|Cartoon|Family Friendly|Agriculture|Cats
229600,Bientôt l'été,2013.0,62.0,5.0,0.8289473684210527,0.67,0.87,0.92,0.25,Atmospheric|Casual|Indie|Walking Simulator|Experimental|Simulation
352240,The Westport Independent,2016.0,63.0,6.0,2.391304347826087,1.25,1.55,1.79,0.54,Political|Choices Matter|Dystopian |Indie|Simulation
255960,Bad Mojo Redux,2014.0,74.0,8.0,5.541666666666667,3.24,4.59,4.97,1.7299999999999995,Horror|Classic|Puzzle|Singleplayer|Adventure|Simulation|FMV
898890,Endling - Extinction is Forever,2022.0,75.0,9.0,26.147058823529413,4.11,4.34,6.03,1.92,Story Rich|Dystopian |Side Scroller|Adventure|Nature|Stealth|Atmospheric|Exploration|Walking Simulator|Female Protagonist|Stylized|Survival|Indie|Singleplayer|Simulation|Emotional|Drama|Colorful|Dark|Cute|Choices Matter|Open World
674930,Boyfriend Dungeon,2021.0,70.0,8.0,11.307692307692308,5.25,8.1,10.55,5.300000000000001,Visual Novel|Story Rich|Action|Dating Sim|Combat|Soundtrack|Action Roguelike|Atmospheric|Romance|Isometric|Action RPG|Otome|Comedy|RPG|Relaxing|Crafting|Funny|Indie|Singleplayer|Simulation|Hand-drawn|Choices Matter|Dungeon Crawler|Anime|Conversation|Hack and Slash
287600,Sunset,2015.0,66.0,5.0,2.1927710843373496,4.47,5.0,9.12,4.65,Story Rich|Kickstarter|First-Person|Romance|Exploration|Casual|Indie|Walking Simulator|Short|Adventure|Female Protagonist|Simulation|Singleplayer|Villain Protagonist
293340,The Good Life,2014.0,62.0,5.0,1.0506329113924051,13.65,20.68,31.32,17.67,Exploration|Management|Casual|Indie|Simulation
977630,Shelter 3,2021.0,52.0,5.0,1.1756756756756757,1.21,1.81,2.0,0.79,Cute|Atmospheric|Exploration|Casual|Survival|Indie|Family Friendly|Adventure|Nature|Simulation|Emotional|Beautiful
349270,Mosaic,2019.0,70.0,6.0,2.7454545454545456,3.05,3.48,8.35,5.3,Dark|Atmospheric|Puzzle|Experience|Indie|Walking Simulator|Short|Cinematic|Surreal|Adventure|Simulation
356180,Time Machine VR,2016.0,58.0,5.0,1.6744186046511629,3.0,5.0,7.0,4.0,Time Travel|Time Manipulation|First-Person|Atmospheric|Exploration|Underwater|Education|Mystery|Science|Indie|Controller|Singleplayer|Adventure|Dinosaurs|Simulation|VR|Sci-fi|Early Access
1301950,Time Loader,2021.0,79.0,8.0,6.023255813953488,2.71,3.65,5.67,2.96,Action-Adventure|Action|Futuristic|Old School|Adventure|Platformer|Physics|Atmospheric|Exploration|Puzzle|Controller|Multiple Endings|Relaxing|Racing|3D|Casual|Indie|America|Singleplayer|Simulation|Emotional|Time Travel|Time Manipulation|Drama|Colorful|3D Platformer|Cute|Interactive Fiction|Choices Matter|Third Person|Family Friendly|Stylized|Cats
